iter	Passed	Remaining
0	33	33153
1	52	26016
2	85	28398
3	119	29687
4	160	31861
5	194	32216
6	232	32941
7	267	33194
8	301	33236
9	335	33192
10	370	33301
11	403	33191
12	436	33148
13	470	33161
14	505	33221
15	539	33206
16	574	33232
17	609	33270
18	643	33248
19	678	33223
20	712	33234
21	747	33222
22	781	33211
23	816	33188
24	850	33186
25	885	33176
26	919	33122
27	953	33089
28	988	33095
29	1023	33098
30	1040	32532
31	1073	32461
32	1107	32456
33	1141	32424
34	1174	32382
35	1207	32331
36	1240	32287
37	1274	32253
38	1307	32217
39	1340	32169
40	1375	32179
41	1411	32195
42	1444	32140
43	1476	32076
44	1509	32044
45	1542	31999
46	1575	31948
47	1609	31930
48	1643	31898
49	1668	31696
50	1701	31662
51	1735	31640
52	1769	31612
53	1802	31576
54	1835	31539
55	1869	31507
56	1902	31479
57	1935	31440
58	1969	31405
59	1993	31237
60	2027	31208
61	2060	31179
62	2094	31152
63	2129	31140
64	2163	31124
65	2198	31115
66	2233	31104
67	2268	31095
68	2303	31082
69	2337	31058
70	2373	31054
71	2387	30775
72	2421	30747
73	2454	30709
74	2488	30686
75	2521	30654
76	2554	30625
77	2589	30603
78	2622	30574
79	2656	30546
80	2691	30534
81	2724	30505
82	2757	30469
83	2791	30445
84	2825	30418
85	2859	30388
86	2893	30365
87	2927	30344
88	2961	30312
89	2995	30291
90	3031	30279
91	3065	30258
92	3100	30237
93	3135	30217
94	3169	30197
95	3204	30180
96	3240	30162
97	3275	30143
98	3310	30129
99	3344	30102
100	3382	30105
101	3417	30083
102	3433	29900
103	3449	29717
104	3481	29677
105	3514	29639
106	3547	29607
107	3580	29572
108	3615	29554
109	3649	29525
110	3682	29493
111	3715	29461
112	3749	29435
113	3774	29335
114	3807	29301
115	3841	29272
116	3875	29245
117	3909	29219
118	3942	29187
119	3975	29154
120	4009	29127
121	4044	29103
122	4077	29070
123	4110	29037
124	4143	29002
125	4176	28969
126	4210	28943
127	4244	28914
128	4277	28879
129	4310	28844
130	4334	28751
131	4368	28723
132	4401	28693
133	4434	28657
134	4467	28628
135	4500	28593
136	4534	28562
137	4568	28535
138	4601	28502
139	4633	28465
140	4667	28436
141	4701	28408
142	4735	28378
143	4771	28360
144	4805	28333
145	4839	28306
146	4875	28292
147	4911	28271
148	4945	28244
149	4979	28219
150	5014	28195
151	5049	28172
152	5083	28144
153	5116	28106
154	5149	28074
155	5183	28044
156	5218	28019
157	5251	27988
158	5284	27953
159	5319	27926
160	5353	27896
161	5389	27879
162	5424	27855
163	5457	27820
164	5491	27789
165	5525	27760
166	5558	27724
167	5591	27691
168	5624	27657
169	5657	27621
170	5691	27590
171	5724	27558
172	5757	27523
173	5791	27492
174	5824	27459
175	5858	27430
176	5892	27399
177	5926	27367
178	5959	27333
179	5993	27303
