iter	Logloss
0	0.6493777174
5	0.5069918992
10	0.433924306
15	0.3750348882
20	0.3445639299
25	0.3175401544
30	0.2768339416
35	0.2522306586
40	0.2341993514
45	0.2113289378
50	0.2020254854
55	0.1847362806
60	0.1741404701
65	0.1639411581
70	0.1511309446
75	0.1462803366
80	0.1358854974
85	0.1304022152
90	0.1219199866
95	0.1143140074
100	0.1088350766
105	0.1039041299
110	0.1012092092
115	0.09628178966
120	0.08931154222
125	0.08486810042
130	0.08274714791
135	0.07862892343
140	0.07433655034
145	0.07003447758
150	0.06768730777
155	0.06706663352
160	0.0634673085
165	0.05884893216
170	0.05840149597
175	0.05643185179
180	0.05610344278
185	0.05448087376
190	0.05212235091
195	0.05097798486
200	0.0487596138
205	0.04663242168
210	0.04520404279
215	0.04420508092
220	0.04294477875
225	0.04190888716
230	0.04079952432
235	0.03985342189
240	0.03793769626
245	0.03680780785
250	0.03554724689
255	0.03436491118
260	0.03267709214
265	0.03179041225
270	0.03019683205
275	0.02918411619
280	0.02865197071
285	0.02767715981
290	0.02689807259
295	0.02625336959
300	0.02589165146
305	0.02501817444
310	0.02435990434
315	0.02402975571
320	0.02348991854
325	0.0229161804
330	0.02237271064
335	0.02167726162
340	0.02116697398
345	0.02074495153
350	0.0205123748
355	0.01978109829
360	0.01924068724
365	0.01888283533
370	0.01877457173
375	0.01838496702
380	0.01801656359
385	0.01779053439
390	0.01743114654
395	0.01698595315
400	0.01665840676
405	0.01608935553
410	0.01562897764
415	0.01536324995
420	0.01501344796
425	0.01459826896
430	0.01428778327
435	0.01414771296
440	0.01378735106
445	0.01362317052
450	0.01340406983
455	0.01319100989
460	0.01290663043
465	0.01270544349
470	0.01261032766
475	0.01241723976
480	0.01222718541
485	0.01214314945
490	0.01202404439
495	0.0118939625
500	0.01163938657
505	0.01146874116
510	0.01133929305
515	0.01117663887
520	0.01100684171
525	0.01082300062
530	0.01072492911
535	0.01070028693
540	0.01063439235
545	0.01054314752
550	0.01047223058
555	0.01034382719
560	0.01023698093
565	0.010087169
570	0.009906708895
575	0.009856166552
580	0.009721385774
585	0.009614287908
590	0.009402748328
595	0.009314776066
600	0.009176911421
605	0.009117987887
610	0.009043428766
615	0.008880407966
620	0.008822388385
625	0.008731240004
630	0.008592048482
635	0.008424008911
640	0.008330917838
645	0.008265217944
650	0.00810359351
655	0.00800205535
660	0.007886947699
665	0.007846601045
670	0.007760457657
675	0.007641930077
680	0.007503659282
685	0.007436210187
690	0.007356543038
695	0.007296188393
700	0.007254831156
705	0.007195536216
710	0.007118305369
715	0.007072341502
720	0.006934046146
725	0.006918517788
730	0.006870402164
735	0.006832385782
740	0.006748836843
745	0.00669496323
750	0.006612165489
755	0.00659174356
760	0.006541577416
765	0.006509729366
770	0.006469125125
775	0.00643293582
780	0.006402451788
785	0.006336833963
790	0.00625374449
795	0.00618461029
800	0.006140053572
805	0.006098565145
810	0.006070754636
815	0.006036021602
820	0.005992631816
825	0.005918621418
830	0.005897446493
835	0.005856033546
840	0.005809724031
845	0.005764007568
850	0.0057154193
855	0.005696621972
860	0.005667451039
865	0.005636472798
870	0.005623539489
875	0.005594949626
880	0.005567267312
885	0.005530874933
890	0.005514621735
895	0.005476805433
900	0.005446224356
905	0.005432541646
910	0.005396336167
915	0.005368390874
920	0.005345705167
925	0.005330098933
930	0.005298935588
935	0.005262914015
940	0.005232352108
945	0.005220267042
950	0.005179199142
955	0.005142340109
960	0.00510739142
965	0.005087936344
970	0.005047397398
975	0.005016565622
980	0.004987377617
985	0.00496680443
990	0.004929791743
995	0.004860576972
999	0.004854191787
