iter	Passed	Remaining
402	14756	21859
403	14793	21824
404	14830	21788
405	14867	21752
406	14903	21713
407	14939	21677
408	14976	21640
409	15012	21604
410	15048	21566
411	15086	21531
412	15125	21497
413	15162	21462
414	15200	21426
415	15236	21389
416	15273	21353
417	15313	21321
418	15351	21286
419	15388	21251
420	15425	21215
421	15464	21180
422	15509	21155
423	15546	21119
424	15585	21085
425	15622	21050
426	15660	21014
427	15697	20979
428	15734	20942
429	15771	20905
430	15808	20870
431	15845	20833
432	15882	20798
433	15922	20765
434	15960	20730
435	16000	20697
436	16038	20662
437	16075	20626
438	16112	20590
439	16150	20555
440	16187	20518
441	16224	20482
442	16261	20446
443	16296	20407
444	16332	20369
445	16368	20331
446	16403	20293
447	16439	20255
448	16477	20220
449	16514	20183
450	16551	20148
451	16588	20111
452	16623	20073
453	16659	20035
454	16696	19998
455	16734	19963
456	16771	19927
457	16809	19892
458	16847	19857
459	16884	19821
460	16922	19786
461	16960	19750
462	16996	19713
463	17035	19679
464	17072	19642
465	17109	19606
466	17147	19571
467	17186	19537
468	17224	19501
469	17261	19465
470	17298	19428
471	17336	19392
472	17376	19360
473	17414	19325
474	17452	19289
475	17490	19254
476	17527	19217
477	17564	19181
478	17603	19147
479	17641	19111
480	17680	19077
481	17717	19040
482	17755	19005
483	17791	18967
484	17827	18930
485	17864	18893
486	17902	18858
487	17939	18821
488	17976	18785
489	18013	18749
490	18050	18712
491	18088	18676
492	18125	18640
493	18163	18604
494	18200	18568
495	18236	18530
496	18273	18493
497	18310	18457
498	18347	18420
499	18383	18383
500	18420	18347
501	18458	18311
502	18494	18273
503	18530	18236
504	18569	18201
505	18606	18165
506	18645	18130
507	18683	18095
508	18722	18060
509	18762	18026
510	18798	17989
511	18834	17951
512	18872	17916
513	18913	17883
514	18951	17847
515	18988	17811
516	19025	17774
517	19060	17736
518	19097	17698
519	19132	17661
520	19167	17622
521	19203	17585
522	19239	17547
523	19276	17510
524	19313	17473
525	19347	17434
526	19384	17397
527	19421	17362
528	19459	17325
529	19495	17288
530	19530	17250
531	19565	17212
532	19603	17175
533	19638	17137
534	19673	17099
535	19708	17061
536	19743	17023
537	19779	16985
538	19816	16948
539	19852	16911
540	19888	16873
541	19924	16836
542	19960	16799
543	19997	16762
544	20033	16724
545	20068	16687
546	20105	16650
547	20141	16613
548	20178	16576
549	20215	16539
550	20252	16503
551	20287	16465
552	20323	16427
553	20360	16391
554	20397	16354
555	20446	16327
556	20482	16290
557	20519	16253
558	20555	16216
559	20591	16179
560	20628	16142
561	20665	16105
562	20704	16070
563	20740	16033
564	20779	15998
565	20816	15961
566	20851	15923
567	20889	15887
568	20927	15851
569	20963	15814
570	21002	15779
571	21040	15743
572	21078	15708
573	21117	15672
574	21157	15637
575	21196	15603
576	21233	15566
577	21270	15529
578	21307	15493
579	21345	15457
580	21383	15421
581	21421	15385
582	21459	15349
583	21497	15313
584	21534	15276
585	21572	15240
586	21608	15203
587	21644	15166
588	21682	15129
589	21720	15093
590	21759	15058
591	21796	15022
592	21834	14986
593	21871	14949
594	21907	14912
595	21944	14875
596	21982	14838
597	22021	14803
598	22058	14766
599	22095	14730
600	22134	14694
601	22171	14657
602	22208	14621
603	22246	14585
604	22282	14547
605	22318	14510
606	22356	14474
607	22391	14436
608	22425	14398
609	22460	14359
610	22497	14323
611	22532	14285
612	22569	14248
613	22604	14210
614	22640	14173
615	22677	14136
616	22713	14099
617	22749	14062
618	22785	14024
619	22819	13986
620	22854	13948
621	22889	13910
622	22924	13872
623	22958	13833
624	22994	13796
625	23033	13761
626	23073	13726
627	23113	13691
628	23151	13655
629	23188	13618
630	23227	13582
631	23264	13546
632	23300	13509
633	23336	13471
634	23372	13434
635	23411	13398
636	23449	13362
637	23488	13327
638	23526	13291
639	23563	13254
640	23599	13217
641	23637	13181
642	23675	13144
643	23712	13108
644	23750	13071
645	23786	13034
646	23823	12998
647	23860	12961
648	23897	12924
649	23934	12887
650	23972	12851
651	24012	12816
652	24048	12779
653	24085	12742
654	24121	12705
655	24158	12668
656	24193	12630
657	24231	12594
658	24267	12557
659	24305	12521
660	24344	12485
661	24381	12448
662	24418	12411
663	24456	12375
664	24493	12338
665	24532	12303
666	24571	12267
667	24609	12231
668	24648	12195
669	24685	12158
670	24722	12121
671	24758	12084
672	24795	12047
673	24831	12010
674	24866	11972
675	24902	11935
676	24939	11898
677	24975	11861
678	25012	11824
679	25049	11788
680	25086	11751
681	25123	11714
682	25160	11677
683	25196	11640
684	25235	11604
685	25270	11567
686	25306	11529
687	25343	11492
688	25380	11456
689	25416	11418
690	25452	11381
691	25491	11345
692	25529	11309
693	25567	11273
694	25605	11236
695	25642	11200
696	25679	11163
697	25715	11126
698	25752	11089
699	25790	11053
700	25828	11016
701	25865	10979
702	25902	10943
703	25939	10906
704	25976	10869
705	26013	10832
706	26051	10796
707	26088	10759
708	26125	10722
709	26161	10685
710	26196	10648
711	26232	10610
712	26268	10573
713	26308	10538
714	26347	10502
715	26382	10464
716	26418	10427
717	26455	10390
718	26492	10353
719	26529	10316
720	26566	10280
721	26601	10242
722	26637	10205
723	26673	10168
724	26709	10131
725	26745	10093
726	26780	10056
727	26815	10019
728	26851	9981
729	26888	9945
730	26925	9908
731	26961	9871
732	26998	9834
733	27032	9796
734	27067	9759
735	27103	9721
736	27139	9684
737	27175	9647
738	27210	9610
739	27247	9573
740	27285	9537
741	27323	9500
742	27360	9463
743	27397	9427
744	27433	9389
745	27470	9353
746	27505	9315
747	27543	9279
748	27580	9242
749	27619	9206
750	27656	9169
751	27693	9132
752	27728	9095
753	27765	9058
754	27801	9021
755	27837	8984
756	27875	8948
757	27911	8911
758	27953	8876
759	27992	8839
760	28037	8805
761	28075	8769
762	28110	8731
763	28147	8694
764	28183	8657
765	28220	8620
766	28258	8584
767	28293	8547
768	28331	8510
769	28366	8473
770	28400	8435
771	28435	8397
772	28473	8361
773	28510	8324
774	28546	8287
775	28584	8251
776	28621	8214
777	28657	8177
778	28694	8140
779	28731	8103
780	28768	8067
781	28804	8029
782	28840	7992
783	28877	7956
784	28916	7919
785	28953	7882
786	28990	7846
787	29028	7809
788	29064	7772
789	29101	7735
790	29137	7698
791	29175	7662
792	29212	7625
793	29248	7588
794	29283	7551
795	29321	7514
796	29356	7477
797	29393	7440
798	29431	7403
799	29466	7366
800	29502	7329
801	29541	7293
802	29578	7256
803	29615	7219
804	29650	7182
805	29686	7145
806	29724	7108
807	29760	7071
808	29797	7035
809	29833	6998
810	29869	6961
811	29907	6924
812	29941	6886
813	29979	6850
814	30016	6813
815	30055	6777
816	30092	6740
817	30130	6703
818	30168	6667
819	30206	6630
820	30242	6593
821	30277	6556
822	30313	6519
823	30352	6483
824	30391	6446
825	30429	6410
826	30467	6373
827	30504	6336
828	30541	6299
829	30577	6262
830	30614	6226
831	30652	6189
832	30686	6152
833	30722	6114
834	30757	6077
835	30795	6041
836	30832	6004
837	30868	5967
838	30903	5930
839	30939	5893
840	30978	5856
841	31016	5820
842	31052	5783
843	31087	5745
844	31123	5708
845	31158	5671
846	31195	5634
847	31231	5598
848	31266	5560
849	31302	5524
850	31339	5487
851	31375	5450
852	31412	5413
853	31447	5376
854	31482	5339
855	31519	5302
856	31553	5265
857	31588	5227
858	31624	5190
859	31659	5153
860	31697	5117
861	31734	5080
862	31770	5043
863	31805	5006
864	31839	4969
865	31874	4932
866	31908	4894
867	31944	4857
868	31982	4821
869	32018	4784
870	32055	4747
871	32091	4710
872	32127	4673
873	32164	4636
874	32199	4599
875	32234	4562
876	32271	4526
877	32307	4489
878	32344	4452
879	32379	4415
880	32416	4378
881	32453	4341
882	32488	4304
883	32522	4267
884	32556	4230
885	32591	4193
886	32627	4156
887	32661	4119
888	32696	4082
889	32731	4045
890	32768	4008
891	32804	3971
892	32840	3934
893	32875	3898
894	32912	3861
895	32947	3824
896	32984	3787
897	33021	3750
898	33059	3714
899	33093	3677
900	33129	3640
901	33165	3603
902	33201	3566
903	33237	3529
904	33273	3492
905	33310	3456
906	33349	3419
907	33385	3382
908	33421	3345
909	33458	3309
910	33494	3272
911	33533	3235
912	33572	3199
913	33620	3163
914	33656	3126
915	33693	3089
916	33728	3052
917	33763	3015
918	33799	2979
919	33836	2942
920	33873	2905
921	33909	2868
922	33946	2831
923	33985	2795
924	34020	2758
925	34059	2721
926	34093	2684
927	34128	2647
928	34165	2611
929	34202	2574
930	34238	2537
931	34275	2500
932	34312	2464
933	34347	2427
934	34382	2390
935	34418	2353
936	34454	2316
937	34489	2279
938	34526	2242
939	34562	2206
940	34598	2169
941	34633	2132
942	34669	2095
943	34714	2059
944	34748	2022
945	34784	1985
946	34818	1948
947	34852	1911
948	34888	1874
949	34925	1838
950	34963	1801
951	34997	1764
952	35034	1727
953	35070	1691
954	35107	1654
955	35144	1617
956	35181	1580
957	35215	1543
958	35251	1507
959	35287	1470
960	35322	1433
961	35357	1396
962	35394	1359
963	35428	1323
964	35463	1286
965	35500	1249
966	35535	1212
967	35572	1175
968	35609	1139
969	35646	1102
970	35681	1065
971	35717	1028
972	35752	992
973	35787	955
974	35824	918
975	35858	881
976	35893	844
977	35928	808
978	35967	771
979	36003	734
980	36040	698
981	36074	661
982	36110	624
983	36146	587
984	36188	551
985	36228	514
986	36267	477
987	36307	440
988	36347	404
989	36385	367
990	36420	330
991	36456	294
992	36493	257
993	36530	220
994	36566	183
995	36603	147
996	36638	110
997	36672	73
998	36707	36
999	36743	0
