iter	Passed	Remaining
0	35	35220
1	70	34975
2	105	34940
3	139	34851
4	174	34766
5	210	34864
6	245	34768
7	280	34729
8	314	34680
9	349	34596
10	383	34492
11	418	34469
12	455	34562
13	490	34542
14	527	34619
15	562	34604
16	597	34575
17	633	34552
18	670	34599
19	704	34533
20	739	34467
21	773	34399
22	809	34368
23	843	34306
24	878	34262
25	913	34214
26	947	34146
27	982	34091
28	1016	34022
29	1050	33959
30	1084	33903
31	1118	33848
32	1154	33817
33	1188	33771
34	1223	33731
35	1257	33685
36	1298	33784
37	1334	33792
38	1369	33753
39	1404	33707
40	1440	33683
41	1476	33668
42	1511	33640
43	1546	33593
44	1580	33551
45	1615	33508
46	1650	33472
47	1685	33432
48	1720	33396
49	1755	33354
50	1790	33315
51	1824	33264
52	1859	33221
53	1893	33172
54	1927	33110
55	1961	33073
56	1996	33027
57	2029	32967
58	2050	32709
59	2085	32665
60	2118	32612
61	2151	32557
62	2185	32501
63	2219	32452
64	2252	32400
65	2287	32367
66	2321	32332
67	2356	32292
68	2390	32260
69	2425	32219
70	2459	32185
71	2495	32161
72	2531	32141
73	2566	32122
74	2602	32098
75	2637	32061
76	2671	32024
77	2706	31997
78	2744	31998
79	2778	31956
80	2812	31912
81	2846	31868
82	2880	31825
83	2914	31782
84	2949	31752
85	2985	31725
86	3020	31694
87	3055	31661
88	3089	31627
89	3124	31588
90	3158	31553
91	3193	31514
92	3227	31478
93	3261	31437
94	3296	31400
95	3330	31361
96	3364	31323
97	3399	31289
98	3434	31253
99	3468	31218
100	3503	31184
101	3537	31146
102	3573	31117
103	3608	31090
104	3642	31050
105	3677	31013
106	3711	30972
107	3749	30969
108	3785	30943
109	3820	30910
110	3854	30874
111	3889	30835
112	3922	30793
113	3957	30757
114	3991	30719
115	4026	30685
116	4060	30646
117	4096	30619
118	4130	30583
119	4165	30547
120	4200	30515
121	4235	30480
122	4270	30449
123	4304	30411
124	4339	30376
125	4374	30343
126	4408	30305
127	4443	30271
128	4478	30239
129	4513	30205
130	4547	30168
131	4581	30127
132	4616	30092
133	4650	30055
134	4685	30021
135	4721	29993
136	4755	29958
137	4790	29922
138	4824	29883
139	4858	29845
140	4894	29815
141	4927	29775
142	4962	29741
143	4996	29704
144	5032	29671
145	5066	29632
146	5100	29598
147	5135	29563
148	5169	29525
149	5203	29484
150	5238	29451
151	5273	29419
152	5307	29384
153	5342	29346
154	5376	29310
155	5411	29275
156	5445	29240
157	5479	29202
158	5514	29168
159	5549	29133
160	5583	29095
161	5617	29058
162	5651	29022
163	5686	28985
164	5720	28949
165	5754	28913
166	5790	28883
167	5825	28849
168	5860	28815
169	5893	28776
170	5928	28741
171	5963	28705
172	5997	28667
173	6031	28632
174	6065	28594
175	6100	28561
176	6134	28525
177	6169	28490
178	6205	28459
179	6239	28424
180	6274	28390
181	6308	28353
182	6342	28318
183	6377	28282
184	6412	28247
185	6446	28213
186	6481	28177
187	6515	28142
188	6550	28106
189	6584	28072
190	6619	28039
191	6654	28004
192	6689	27970
193	6723	27933
194	6757	27897
195	6792	27862
196	6826	27826
197	6861	27791
198	6896	27758
199	6931	27727
200	6967	27696
201	7002	27662
202	7037	27630
203	7072	27595
204	7106	27560
205	7141	27527
206	7176	27493
207	7211	27460
208	7246	27426
209	7281	27391
210	7317	27361
211	7351	27326
212	7387	27294
213	7424	27270
214	7465	27257
215	7499	27221
216	7537	27195
217	7571	27160
218	7606	27126
219	7641	27091
220	7675	27056
221	7710	27020
222	7744	26985
223	7779	26950
224	7814	26916
225	7848	26880
226	7883	26845
227	7918	26812
228	7954	26779
229	7988	26745
230	8023	26710
231	8057	26672
232	8091	26637
233	8127	26604
234	8161	26569
235	8196	26533
236	8231	26499
237	8264	26459
238	8297	26421
239	8331	26384
240	8365	26347
241	8400	26311
242	8434	26276
243	8469	26241
244	8504	26207
245	8539	26173
246	8573	26138
247	8609	26105
248	8643	26070
249	8678	26034
250	8713	26002
251	8748	25967
252	8783	25933
253	8818	25898
254	8853	25866
255	8887	25829
256	8923	25799
257	8960	25770
258	8996	25739
259	9032	25708
260	9066	25672
261	9101	25636
262	9136	25602
263	9170	25566
264	9204	25529
265	9239	25495
266	9273	25458
267	9308	25423
268	9342	25388
269	9377	25352
270	9411	25317
271	9446	25283
272	9481	25250
273	9516	25216
274	9551	25180
275	9585	25143
276	9620	25109
277	9657	25081
278	9692	25046
279	9726	25012
280	9762	24978
281	9796	24942
282	9832	24911
283	9867	24877
284	9901	24841
285	9935	24804
286	9970	24768
287	10004	24734
288	10039	24699
289	10074	24664
290	10110	24634
291	10146	24602
292	10182	24570
293	10217	24536
294	10251	24500
295	10286	24466
296	10321	24431
297	10355	24394
298	10390	24361
299	10426	24328
300	10462	24296
301	10497	24261
302	10531	24226
303	10570	24200
304	10607	24170
305	10643	24139
306	10678	24103
307	10713	24070
308	10747	24034
309	10781	23997
310	10816	23964
311	10850	23927
312	10884	23889
313	10917	23851
314	10950	23813
315	10985	23778
316	11018	23740
317	11051	23702
318	11085	23665
319	11120	23630
320	11154	23593
321	11188	23557
322	11222	23521
323	11255	23483
324	11289	23446
325	11323	23410
326	11356	23373
327	11390	23335
328	11424	23300
329	11459	23266
330	11494	23231
331	11528	23195
332	11562	23159
333	11596	23123
334	11632	23090
335	11667	23057
336	11702	23023
337	11737	22989
338	11772	22954
339	11806	22917
340	11840	22882
341	11875	22847
342	11909	22812
343	11944	22777
344	11979	22743
345	12015	22710
346	12049	22675
347	12084	22641
348	12119	22606
349	12154	22573
350	12189	22538
351	12223	22502
352	12257	22466
353	12291	22430
354	12325	22394
355	12359	22357
356	12393	22322
357	12427	22286
358	12462	22252
359	12497	22217
360	12532	22184
361	12567	22149
362	12601	22114
363	12636	22079
364	12671	22045
365	12707	22011
366	12741	21976
367	12778	21945
368	12813	21910
369	12848	21876
370	12882	21841
371	12917	21807
372	12952	21772
373	12987	21738
374	13022	21704
375	13059	21672
376	13093	21637
377	13128	21602
378	13163	21569
379	13198	21534
380	13234	21501
381	13269	21466
382	13305	21434
383	13340	21400
384	13375	21365
385	13409	21330
386	13444	21295
387	13479	21260
388	13513	21226
389	13548	21190
390	13583	21156
391	13617	21120
392	13652	21085
393	13686	21051
394	13721	21016
395	13756	20981
396	13790	20946
397	13824	20911
398	13859	20875
399	13894	20841
400	13928	20806
401	13963	20771
402	13998	20737
403	14033	20702
404	14068	20668
405	14102	20632
406	14136	20596
407	14172	20563
408	14206	20528
409	14241	20493
410	14277	20461
411	14315	20430
412	14350	20396
413	14385	20361
414	14422	20329
415	14458	20297
416	14494	20264
417	14529	20229
418	14563	20194
419	14597	20158
420	14633	20125
421	14668	20090
422	14703	20056
423	14739	20023
424	14775	19990
425	14810	19955
426	14844	19919
427	14878	19884
428	14913	19849
429	14948	19814
430	14983	19781
431	15018	19746
432	15054	19713
433	15090	19680
434	15126	19646
435	15162	19613
436	15197	19579
437	15232	19544
438	15266	19509
439	15301	19475
440	15336	19440
441	15371	19405
442	15406	19371
443	15443	19339
444	15480	19306
445	15516	19274
446	15551	19239
447	15586	19204
448	15621	19170
449	15656	19135
450	15691	19101
451	15726	19066
452	15761	19032
453	15795	18996
454	15829	18960
455	15863	18924
456	15896	18888
457	15930	18852
458	15966	18818
459	16000	18783
460	16037	18750
461	16071	18715
462	16106	18680
463	16142	18646
464	16178	18614
465	16215	18581
466	16248	18544
467	16283	18509
468	16317	18475
469	16354	18442
470	16389	18408
471	16424	18373
472	16459	18339
473	16494	18303
474	16528	18268
475	16563	18233
476	16598	18198
477	16633	18164
478	16670	18132
479	16707	18099
480	16744	18067
481	16780	18034
482	16815	17999
483	16851	17965
484	16885	17929
485	16920	17895
486	16956	17861
487	16990	17825
488	17024	17790
489	17058	17754
490	17092	17719
491	17127	17684
492	17161	17648
493	17196	17613
494	17230	17579
495	17265	17544
