iter	Logloss
0	0.6128352946
5	0.3912888723
10	0.2817538467
15	0.2174098336
20	0.1757800615
25	0.151503999
30	0.1313891866
35	0.1139331703
40	0.1035870691
45	0.09019107914
50	0.07944373509
55	0.07027980191
60	0.06161771707
65	0.05358036559
70	0.04759150174
75	0.04317195451
80	0.03906044888
85	0.03601787318
90	0.03238332451
95	0.02960747091
100	0.02724546643
105	0.02550958988
110	0.02372696412
115	0.0220009406
120	0.02061167674
125	0.01968760946
130	0.01858497025
135	0.01753842531
140	0.01669177578
145	0.0159814178
150	0.01471926579
155	0.01384898047
160	0.01330634098
165	0.01269530052
170	0.01208362507
175	0.01164111899
180	0.01107334252
185	0.01084061603
190	0.01040033479
195	0.01007470414
200	0.009705325467
205	0.009309920234
210	0.008954628029
215	0.008609993374
220	0.00830782598
225	0.008066654205
230	0.007765472235
235	0.007538443235
240	0.007329308208
245	0.007181028625
250	0.006965562926
255	0.006845145968
260	0.00658881185
265	0.006450664458
270	0.006239541212
275	0.006084258832
280	0.005941084282
285	0.005820146158
290	0.005664536701
295	0.005557700018
300	0.005477706392
305	0.005347902451
310	0.005229233497
315	0.005114566142
320	0.004970618828
325	0.004871421124
330	0.004771739993
335	0.004673868568
340	0.004595378236
345	0.004483055529
350	0.004379964953
355	0.004292809184
360	0.004224194953
365	0.004153458916
370	0.004070142106
375	0.003996066412
380	0.003929014182
385	0.003860462251
390	0.003805022743
395	0.003743688066
400	0.00369929848
405	0.003641146511
410	0.003575003327
415	0.003522345469
420	0.00345263589
425	0.003401252493
430	0.003360719837
435	0.003300273838
440	0.00326089883
445	0.003205567748
450	0.003144887225
455	0.00311382991
460	0.003063266002
465	0.003028549142
470	0.002998938213
475	0.002966041541
480	0.002916103332
485	0.002880395657
490	0.002846891557
495	0.002818203452
500	0.002792012152
505	0.002757467816
510	0.002721192849
515	0.002680879741
520	0.002647105773
525	0.002613424656
530	0.002593541864
535	0.002562031674
540	0.002529631308
545	0.002504009098
550	0.002484052175
555	0.002455496908
560	0.002432979831
565	0.002410587653
570	0.002387567381
575	0.002357672357
580	0.002331690423
585	0.002304309577
590	0.002277143936
595	0.002252885295
600	0.002238095555
605	0.002218064052
610	0.002196194239
615	0.002175632733
620	0.00215341922
625	0.002133296063
630	0.002110229964
635	0.002093471774
640	0.002076958292
645	0.00205641296
650	0.002036877912
655	0.002026069104
660	0.002007107938
665	0.001988524618
670	0.001974869314
675	0.001960631891
680	0.001943102135
685	0.001931549167
690	0.001922249494
695	0.001906864158
700	0.001894093339
705	0.001882373688
710	0.001873470131
715	0.001857841584
720	0.001837519994
725	0.001821481403
730	0.001810249821
735	0.001797415204
740	0.00178533493
745	0.001768427279
750	0.001757611881
755	0.001745967559
760	0.001733902861
765	0.001719743163
770	0.001704077775
775	0.001693818887
780	0.001681997249
785	0.001668224083
790	0.0016582433
795	0.001645560989
800	0.001634343485
805	0.001619472576
810	0.001608035522
815	0.00159728557
820	0.001590083592
825	0.001584235148
830	0.001570605153
835	0.001562176338
840	0.001551567909
845	0.001541200894
850	0.001534380805
855	0.00152278261
860	0.001512565804
865	0.001502287747
870	0.001496237127
875	0.001481352589
880	0.001471433508
885	0.001460029252
890	0.001452066191
895	0.001441345143
900	0.001429508679
905	0.001420985215
910	0.001412551008
915	0.001404909333
920	0.001395179249
925	0.001384332252
930	0.001376264958
935	0.001369018651
940	0.001357647941
945	0.001351902982
950	0.001339676991
955	0.001331462033
960	0.001327518842
965	0.001319485394
970	0.001311038457
975	0.001307124019
980	0.001300436168
985	0.001292788503
990	0.001283943204
995	0.001278878456
999	0.001273126309
