iter	Passed	Remaining
402	14457	21417
403	14492	21380
404	14527	21343
405	14562	21305
406	14597	21268
407	14634	21233
408	14670	21198
409	14707	21164
410	14744	21130
411	14782	21096
412	14818	21061
413	14852	21023
414	14888	20987
415	14924	20951
416	14958	20913
417	14995	20878
418	15030	20841
419	15064	20803
420	15101	20768
421	15138	20734
422	15175	20700
423	15214	20668
424	15251	20634
425	15287	20598
426	15323	20562
427	15359	20527
428	15395	20491
429	15430	20454
430	15465	20417
431	15500	20380
432	15538	20346
433	15575	20312
434	15613	20279
435	15651	20246
436	15687	20210
437	15724	20176
438	15761	20141
439	15797	20106
440	15834	20070
441	15870	20035
442	15907	20001
443	15941	19962
444	15975	19924
445	16010	19887
446	16047	19852
447	16083	19817
448	16120	19782
449	16157	19747
450	16194	19712
451	16230	19677
452	16266	19642
453	16304	19608
454	16339	19571
455	16376	19536
456	16412	19501
457	16447	19463
458	16484	19428
459	16517	19390
460	16553	19354
461	16590	19320
462	16627	19285
463	16663	19249
464	16698	19212
465	16736	19178
466	16772	19142
467	16807	19105
468	16843	19069
469	16878	19033
470	16913	18995
471	16948	18958
472	16985	18924
473	17021	18889
474	17056	18851
475	17091	18815
476	17128	18780
477	17165	18745
478	17202	18710
479	17235	18672
480	17271	18636
481	17307	18599
482	17342	18563
483	17381	18531
484	17417	18494
485	17454	18459
486	17491	18424
487	17527	18389
488	17561	18351
489	17597	18315
490	17637	18283
491	17672	18247
492	17713	18216
493	17750	18181
494	17785	18144
495	17822	18110
496	17858	18074
497	17894	18037
498	17930	18002
499	17966	17966
500	18000	17928
501	18035	17891
502	18071	17855
503	18108	17820
504	18145	17785
505	18180	17748
506	18216	17713
507	18254	17679
508	18293	17646
509	18331	17612
510	18370	17579
511	18407	17544
512	18446	17511
513	18483	17476
514	18519	17440
515	18556	17405
516	18593	17370
517	18630	17335
518	18667	17301
519	18702	17264
520	18739	17228
521	18775	17192
522	18817	17162
523	18855	17128
524	18890	17091
525	18925	17054
526	18960	17017
527	18994	16980
528	19030	16944
529	19067	16908
530	19103	16873
531	19140	16837
532	19177	16802
533	19214	16767
534	19250	16731
535	19289	16698
536	19326	16663
537	19363	16628
538	19397	16590
539	19432	16554
540	19468	16517
541	19502	16480
542	19537	16443
543	19571	16405
544	19607	16369
545	19653	16341
546	19689	16306
547	19726	16270
548	19760	16233
549	19795	16195
550	19831	16160
551	19868	16124
552	19904	16089
553	19941	16053
554	19977	16018
555	20013	15982
556	20049	15945
557	20086	15910
558	20122	15874
559	20158	15838
560	20195	15803
561	20231	15767
562	20268	15732
563	20305	15697
564	20344	15663
565	20379	15626
566	20415	15590
567	20452	15555
568	20490	15521
569	20526	15484
570	20562	15448
571	20597	15412
572	20631	15374
573	20667	15338
574	20702	15301
575	20738	15265
576	20772	15228
577	20807	15191
578	20842	15155
579	20879	15119
580	20915	15083
581	20951	15047
582	20986	15010
583	21020	14973
584	21055	14936
585	21089	14899
586	21124	14862
587	21159	14826
588	21194	14789
589	21228	14751
590	21266	14717
591	21302	14681
592	21337	14645
593	21373	14608
594	21407	14571
595	21442	14535
596	21479	14499
597	21517	14465
598	21551	14427
599	21587	14391
600	21623	14355
601	21660	14320
602	21696	14284
603	21732	14248
604	21768	14212
605	21805	14177
606	21841	14141
607	21878	14105
608	21915	14070
609	21956	14037
610	21992	14001
611	22027	13964
612	22067	13931
613	22105	13896
614	22139	13859
615	22174	13823
616	22210	13786
617	22246	13750
618	22282	13715
619	22318	13679
620	22353	13642
621	22388	13605
622	22425	13570
623	22463	13535
624	22500	13500
625	22536	13464
626	22572	13428
627	22610	13393
628	22645	13356
629	22682	13321
630	22719	13285
631	22756	13250
632	22792	13214
633	22827	13177
634	22862	13141
635	22899	13106
636	22936	13070
637	22971	13033
638	23005	12996
639	23040	12960
640	23075	12923
641	23110	12887
642	23146	12851
643	23183	12815
644	23220	12780
645	23257	12744
646	23294	12709
647	23330	12673
648	23367	12638
649	23403	12602
650	23438	12565
651	23473	12528
652	23507	12491
653	23544	12456
654	23581	12420
655	23617	12384
656	23654	12349
657	23690	12313
658	23725	12276
659	23763	12242
660	23802	12207
661	23838	12171
662	23873	12134
663	23907	12097
664	23944	12062
665	23980	12026
666	24016	11990
667	24052	11954
668	24089	11918
669	24126	11883
670	24162	11847
671	24196	11810
672	24231	11773
673	24268	11737
674	24303	11701
675	24338	11665
676	24373	11628
677	24407	11591
678	24442	11555
679	24478	11519
680	24514	11483
681	24551	11447
682	24587	11411
683	24623	11375
684	24658	11339
685	24698	11305
686	24738	11270
687	24775	11235
688	24809	11198
689	24843	11161
690	24879	11125
691	24917	11090
692	24953	11054
693	24987	11017
694	25022	10980
695	25057	10944
696	25092	10908
697	25127	10871
698	25163	10835
699	25202	10801
700	25238	10764
701	25275	10729
702	25310	10693
703	25345	10656
704	25380	10620
705	25415	10583
706	25450	10547
707	25487	10511
708	25521	10475
709	25558	10439
710	25595	10403
711	25631	10367
712	25668	10332
713	25704	10296
714	25741	10260
715	25777	10224
716	25815	10189
717	25853	10154
718	25888	10117
719	25925	10082
720	25960	10045
721	25996	10009
722	26031	9973
