iter	Passed	Remaining
0	33	33192
1	66	33233
2	99	33195
3	132	33071
4	167	33245
5	200	33294
6	234	33231
7	268	33332
8	303	33440
9	336	33355
10	369	33247
11	403	33206
12	437	33191
13	471	33223
14	505	33219
15	539	33190
16	573	33142
17	606	33067
18	639	33018
19	672	32948
20	705	32889
21	739	32853
22	771	32779
23	804	32719
24	837	32674
25	870	32622
26	904	32600
27	939	32606
28	972	32568
29	1007	32568
30	1042	32574
31	1077	32585
32	1112	32601
33	1147	32597
34	1183	32621
35	1218	32619
36	1253	32613
37	1288	32628
38	1323	32610
39	1358	32610
40	1393	32600
41	1428	32591
42	1463	32580
43	1498	32549
44	1531	32506
45	1566	32490
46	1601	32463
47	1634	32423
48	1669	32407
49	1704	32384
50	1738	32357
51	1772	32309
52	1806	32270
53	1839	32227
54	1872	32178
55	1906	32135
56	1940	32101
57	1975	32089
58	2008	32037
59	2042	31995
60	2075	31952
61	2109	31920
62	2145	31903
63	2179	31880
64	2214	31849
65	2249	31838
66	2283	31801
67	2319	31797
68	2355	31778
69	2389	31751
70	2425	31733
71	2459	31702
72	2493	31658
73	2526	31621
74	2561	31596
75	2604	31662
76	2644	31701
77	2685	31738
78	2724	31765
79	2767	31825
80	2808	31862
81	2847	31872
82	2884	31873
83	2924	31889
84	2965	31923
85	3002	31911
86	3038	31884
87	3073	31848
88	3110	31836
89	3146	31810
90	3182	31787
91	3217	31751
92	3252	31721
93	3286	31679
94	3321	31644
95	3355	31600
96	3389	31558
97	3423	31511
98	3457	31470
99	3491	31425
100	3525	31381
101	3559	31339
102	3598	31336
103	3635	31325
104	3676	31341
105	3710	31296
106	3746	31269
107	3782	31236
108	3817	31204
109	3851	31159
110	3883	31105
111	3917	31060
112	3950	31012
113	3984	30970
114	4019	30929
115	4053	30891
116	4087	30850
117	4123	30823
118	4161	30807
119	4195	30763
120	4229	30723
121	4264	30687
122	4298	30648
123	4333	30615
124	4368	30579
125	4402	30537
126	4436	30495
127	4471	30463
128	4505	30418
129	4540	30385
130	4574	30347
131	4609	30312
132	4644	30274
133	4678	30236
134	4713	30202
135	4747	30158
136	4781	30121
137	4815	30078
138	4849	30036
139	4882	29992
140	4917	29958
141	4953	29928
142	4987	29891
143	5021	29847
144	5056	29813
145	5089	29772
146	5123	29729
147	5157	29689
148	5191	29652
149	5225	29610
150	5258	29568
151	5292	29529
152	5326	29488
153	5360	29448
154	5397	29426
155	5431	29386
156	5465	29348
157	5507	29348
158	5543	29323
159	5581	29301
160	5615	29262
161	5650	29229
162	5684	29190
163	5718	29148
164	5751	29105
165	5784	29061
166	5817	29018
167	5852	28984
168	5888	28953
169	5922	28913
170	5957	28881
171	5991	28843
172	6027	28812
173	6063	28783
174	6100	28760
175	6138	28738
176	6175	28712
177	6212	28689
178	6248	28658
179	6281	28617
180	6317	28584
181	6351	28546
182	6384	28504
183	6418	28464
184	6454	28434
185	6489	28399
186	6523	28360
187	6558	28327
188	6594	28299
189	6631	28271
190	6667	28242
191	6703	28211
192	6739	28178
193	6774	28145
194	6809	28112
195	6845	28081
196	6882	28055
197	6918	28024
198	6954	27994
199	6991	27964
200	7026	27932
201	7064	27907
202	7101	27880
203	7138	27855
204	7176	27831
205	7213	27804
206	7251	27780
207	7289	27757
208	7325	27723
209	7362	27696
210	7398	27665
211	7436	27642
212	7473	27613
213	7510	27583
214	7543	27543
215	7578	27506
216	7613	27470
217	7650	27442
218	7685	27409
219	7721	27375
220	7758	27349
221	7794	27316
222	7831	27286
223	7868	27258
224	7905	27230
225	7942	27200
226	7978	27168
227	8015	27141
228	8053	27113
229	8090	27083
230	8125	27048
231	8161	27016
232	8196	26980
233	8231	26947
234	8265	26907
235	8302	26876
236	8337	26843
237	8375	26815
238	8413	26790
239	8450	26759
240	8486	26726
241	8522	26693
242	8557	26658
243	8591	26620
244	8626	26584
245	8662	26549
246	8696	26513
247	8731	26476
248	8765	26435
249	8798	26395
250	8834	26361
251	8868	26323
252	8903	26287
253	8937	26250
254	8972	26213
255	9006	26176
256	9042	26142
257	9079	26112
258	9115	26078
259	9149	26042
260	9186	26010
261	9224	25982
262	9259	25946
263	9297	25919
264	9334	25888
265	9369	25853
266	9406	25822
267	9442	25789
268	9477	25754
269	9511	25717
270	9547	25682
271	9585	25654
272	9621	25622
273	9655	25584
274	9690	25548
275	9725	25511
276	9760	25476
277	9797	25445
278	9832	25408
279	9866	25370
280	9902	25337
281	9937	25302
282	9971	25263
283	10006	25227
284	10041	25192
285	10078	25159
286	10113	25124
287	10148	25088
288	10184	25055
289	10218	25018
290	10255	24986
291	10290	24951
292	10325	24915
293	10361	24881
294	10400	24854
295	10434	24816
296	10469	24781
297	10505	24747
298	10539	24710
299	10573	24672
300	10608	24635
301	10643	24598
302	10677	24561
303	10710	24520
304	10744	24482
305	10778	24444
306	10812	24407
307	10848	24374
308	10883	24338
309	10918	24302
310	10952	24265
311	10986	24226
312	11022	24193
313	11058	24160
314	11092	24122
315	11128	24088
316	11165	24057
317	11202	24025
318	11239	23994
319	11274	23957
320	11307	23919
321	11344	23887
322	11381	23854
323	11417	23822
324	11455	23791
325	11492	23759
326	11529	23728
327	11565	23695
328	11603	23664
329	11638	23629
330	11673	23593
331	11707	23555
332	11744	23524
333	11780	23490
334	11815	23453
335	11849	23416
336	11883	23378
337	11917	23341
338	11952	23305
339	11989	23273
340	12024	23238
341	12059	23202
342	12093	23165
343	12127	23127
344	12162	23091
345	12197	23055
346	12230	23016
347	12264	22978
348	12298	22940
349	12332	22903
350	12366	22865
351	12400	22828
352	12435	22792
353	12470	22757
354	12506	22722
355	12542	22688
356	12577	22653
357	12613	22619
358	12648	22583
359	12682	22546
360	12717	22511
361	12752	22475
362	12787	22439
363	12823	22406
364	12857	22369
365	12893	22333
366	12929	22300
367	12962	22262
368	12997	22225
369	13031	22188
370	13065	22151
371	13099	22113
372	13133	22076
373	13166	22038
374	13200	22000
375	13234	21964
376	13268	21925
377	13301	21888
378	13336	21851
379	13371	21816
380	13406	21781
381	13441	21745
382	13475	21708
383	13509	21671
384	13543	21633
385	13578	21599
386	13612	21562
387	13646	21524
388	13680	21487
389	13714	21450
390	13752	21420
391	13786	21383
392	13823	21350
393	13856	21312
394	13891	21276
395	13926	21240
396	13960	21205
397	13994	21167
398	14029	21131
399	14063	21095
400	14097	21058
401	14131	21021
402	14165	20984
403	14199	20948
404	14236	20915
405	14272	20881
406	14306	20844
407	14343	20811
408	14378	20776
409	14412	20740
410	14447	20704
411	14480	20666
412	14514	20629
